slug,trade,category,unit,unit_label,low_usd,typical_usd,high_usd,source_url
"newborn-photography","newborn photography","Events & Photography","session","per session","200","450","1200","https://getwhattocharge.com/how-much-to-charge-for/newborn-photography"
"boudoir-photography","boudoir photography","Events & Photography","session","per session","250","500","1500","https://getwhattocharge.com/how-much-to-charge-for/boudoir-photography"
"pet-photography","pet photography","Events & Photography","session","per session","150","350","800","https://getwhattocharge.com/how-much-to-charge-for/pet-photography"
"sound-engineering","mixing and mastering","Creative & Freelance","song","per song","100","350","1000","https://getwhattocharge.com/how-much-to-charge-for/sound-engineering"
"wedding-coordination","wedding coordination","Events & Photography","event","per wedding","800","1800","4500","https://getwhattocharge.com/how-much-to-charge-for/wedding-coordination"
"plantscaping","interior plant care","Home Services","month","per month","100","350","1500","https://getwhattocharge.com/how-much-to-charge-for/plantscaping"
"fitness-bootcamp","fitness bootcamp","Lessons & Coaching","class","per person, per class","10","20","35","https://getwhattocharge.com/how-much-to-charge-for/fitness-bootcamp"
"doula-services","doula services","Beauty & Wellness","birth","per birth","800","1500","3500","https://getwhattocharge.com/how-much-to-charge-for/doula-services"
"lactation-consulting","lactation consulting","Beauty & Wellness","visit","per visit","100","200","400","https://getwhattocharge.com/how-much-to-charge-for/lactation-consulting"
"mobile-iv-therapy","mobile IV therapy","Beauty & Wellness","treatment","per treatment","100","200","400","https://getwhattocharge.com/how-much-to-charge-for/mobile-iv-therapy"
"reiki-healing","reiki healing","Beauty & Wellness","session","per session","50","90","175","https://getwhattocharge.com/how-much-to-charge-for/reiki-healing"
"sign-language-interpreting","sign language interpreting","Business & Professional","hour","per hour","40","75","150","https://getwhattocharge.com/how-much-to-charge-for/sign-language-interpreting"
"home-theater-installation","home theater installation","Trades & Repair","project","per project","500","2000","8000","https://getwhattocharge.com/how-much-to-charge-for/home-theater-installation"
